photo,Theta,sigma,n
1.jpg,0.8905883530575046,0.19883898303417535,170
10.jpg,0.8117514507884656,0.17729197040807143,170
100.jpg,0.1817873195505799,0.3104188906188787,170
1000.jpg,0.6508652213864283,0.11992600451136033,170
1001.jpg,-1.719339312705845,0.8901184344427694,170
1002.jpg,0.5375087806496089,0.16545111841256682,170
1003.jpg,-0.2038917117296624,0.4794781965184018,170
1004.jpg,-2.2095928291855507,0.9686003462763952,170
101.jpg,0.7288211871338164,0.3143681300408804,170
102.jpg,1.101996861022165,0.2543659005947408,170
103.jpg,-0.08500586523943966,0.42198571925147965,170
104.jpg,0.5264119011880689,0.1493625620722375,170
105.jpg,0.1748464643435792,0.3316582525064144,170
106.jpg,-0.021596435600992763,0.30286708703031445,170
107.jpg,0.6860694317837157,0.1413738037834927,170
108.jpg,-0.44982285760389307,0.5752984748030188,170
109.jpg,-0.11635123051488988,0.3902541110885448,170
11.jpg,0.5650595180531727,0.279734021921466,170
110.jpg,-2.116394743246005,0.9868891304831054,170
111.jpg,0.999204070070788,0.2326453404648663,170
112.jpg,-0.31790316394227697,0.5162707785121546,170
113.jpg,-0.9589977792830081,0.8171690943893822,170
114.jpg,-2.1728651795620544,0.9830697964907441,170
115.jpg,0.27436822485368956,0.23582123538029393,170
116.jpg,1.0540779218813257,0.2436458547374721,170
117.jpg,0.5722651251045893,0.2100128009196481,170
118.jpg,0.6923282416965518,0.13122451152397469,170
119.jpg,0.1843381633724797,0.2889817374105146,170
12.jpg,-2.179835810720484,0.9576788824159932,170
120.jpg,-1.863336499445011,0.9510911584065243,170
121.jpg,-1.7207208823837705,0.9002532637906933,170
122.jpg,-0.040933125946939736,0.408460072615549,170
123.jpg,1.0989457425707558,0.269742208215747,170
124.jpg,0.1324611751093029,0.2532108917119652,170
125.jpg,1.0607315697814792,0.24809816417435068,170
126.jpg,0.8398396105242517,0.19697149978613362,170
127.jpg,-2.147996496772865,0.9713610236879281,170
128.jpg,0.1255596582326619,0.35585214759108036,170
129.jpg,-2.193020916736778,0.9625300104232647,170
13.jpg,0.751202393233253,0.15111643986850679,170
130.jpg,0.8777631140238352,0.18612411344784438,170
131.jpg,-0.0909253200635824,0.42731004226434993,170
132.jpg,0.9147981592224173,0.1986221711338613,170
133.jpg,-0.7921903322444327,0.6961381481943769,170
134.jpg,0.7331702368537916,0.17037624152410902,170
