,0,1,2,3,4,5
0,13,flow,trustworthy,2,"('13', 'flow', 'trustworthy', '2')",70.46
1,16,vector,trustworthy,0,"('16', 'vector', 'trustworthy', '0')",58.01
2,30,vector,trustworthy,4,"('30', 'vector', 'trustworthy', '4')",60.5
3,19,vector,trustworthy,3,"('19', 'vector', 'trustworthy', '3')",58.01
4,29,vector,trustworthy,3,"('29', 'vector', 'trustworthy', '3')",45.91
5,34,flow,trustworthy,3,"('34', 'flow', 'trustworthy', '3')",61.57
6,39,vector,trustworthy,3,"('39', 'vector', 'trustworthy', '3')",55.87
7,14,flow,trustworthy,3,"('14', 'flow', 'trustworthy', '3')",55.87
8,42,flow,trustworthy,1,"('42', 'flow', 'trustworthy', '1')",51.96
9,24,flow,trustworthy,3,"('24', 'flow', 'trustworthy', '3')",36.3
10,40,vector,trustworthy,4,"('40', 'vector', 'trustworthy', '4')",28.83
11,7,vector,trustworthy,1,"('7', 'vector', 'trustworthy', '1')",30.13
12,49,vector,trustworthy,3,"('49', 'vector', 'trustworthy', '3')",59.43
13,25,flow,trustworthy,4,"('25', 'flow', 'trustworthy', '4')",49.47
14,18,vector,trustworthy,2,"('18', 'vector', 'trustworthy', '2')",41.99
15,28,vector,trustworthy,2,"('28', 'vector', 'trustworthy', '2')",57.65
16,20,vector,trustworthy,4,"('20', 'vector', 'trustworthy', '4')",38.79
17,27,vector,trustworthy,1,"('27', 'vector', 'trustworthy', '1')",27.05
18,22,flow,trustworthy,1,"('22', 'flow', 'trustworthy', '1')",59.07
19,45,flow,trustworthy,4,"('45', 'flow', 'trustworthy', '4')",62.99
20,1,flow,trustworthy,0,"('1', 'flow', 'trustworthy', '0')",53.38
21,21,flow,trustworthy,0,"('21', 'flow', 'trustworthy', '0')",53.02
22,47,vector,trustworthy,1,"('47', 'vector', 'trustworthy', '1')",42.35
23,8,vector,trustworthy,2,"('8', 'vector', 'trustworthy', '2')",34.44
24,0,vector,trustworthy,4,"('0', 'vector', 'trustworthy', '4')",53.38
25,31,flow,trustworthy,0,"('31', 'flow', 'trustworthy', '0')",48.75
26,41,flow,trustworthy,0,"('41', 'flow', 'trustworthy', '0')",39.5
27,35,flow,trustworthy,4,"('35', 'flow', 'trustworthy', '4')",48.04
28,44,flow,trustworthy,3,"('44', 'flow', 'trustworthy', '3')",47.33
29,2,flow,trustworthy,1,"('2', 'flow', 'trustworthy', '1')",53.02
30,17,vector,trustworthy,1,"('17', 'vector', 'trustworthy', '1')",46.62
31,11,flow,trustworthy,0,"('11', 'flow', 'trustworthy', '0')",54.09
32,6,vector,trustworthy,0,"('6', 'vector', 'trustworthy', '0')",49.11
33,9,vector,trustworthy,3,"('9', 'vector', 'trustworthy', '3')",46.98
34,5,flow,trustworthy,4,"('5', 'flow', 'trustworthy', '4')",49.47
35,32,flow,trustworthy,1,"('32', 'flow', 'trustworthy', '1')",48.4
36,36,vector,trustworthy,0,"('36', 'vector', 'trustworthy', '0')",45.91
37,15,flow,trustworthy,4,"('15', 'flow', 'trustworthy', '4')",55.52
38,23,flow,trustworthy,2,"('23', 'flow', 'trustworthy', '2')",52.67
39,48,vector,trustworthy,2,"('48', 'vector', 'trustworthy', '2')",48.4
40,12,flow,trustworthy,1,"('12', 'flow', 'trustworthy', '1')",47.69
41,37,vector,trustworthy,1,"('37', 'vector', 'trustworthy', '1')",47.69
42,4,flow,trustworthy,3,"('4', 'flow', 'trustworthy', '3')",37.72
43,43,flow,trustworthy,2,"('43', 'flow', 'trustworthy', '2')",50.53
44,38,vector,trustworthy,2,"('38', 'vector', 'trustworthy', '2')",40.21
45,26,vector,trustworthy,0,"('26', 'vector', 'trustworthy', '0')",49.11
46,10,vector,trustworthy,4,"('10', 'vector', 'trustworthy', '4')",29.18
47,46,vector,trustworthy,0,"('46', 'vector', 'trustworthy', '0')",35.23
48,33,flow,trustworthy,2,"('33', 'flow', 'trustworthy', '2')",35.59
49,3,flow,trustworthy,2,"('3', 'flow', 'trustworthy', '2')",39.86
50,41,flow,attractive,0,"('41', 'flow', 'attractive', '0')",2.49
51,11,flow,attractive,0,"('11', 'flow', 'attractive', '0')",69.75
52,31,flow,attractive,0,"('31', 'flow', 'attractive', '0')",55.87
53,40,vector,attractive,4,"('40', 'vector', 'attractive', '4')",18.15
54,4,flow,attractive,3,"('4', 'flow', 'attractive', '3')",39.86
55,10,vector,attractive,4,"('10', 'vector', 'attractive', '4')",47.33
56,34,flow,attractive,3,"('34', 'flow', 'attractive', '3')",43.06
57,16,vector,attractive,0,"('16', 'vector', 'attractive', '0')",14.95
58,20,vector,attractive,4,"('20', 'vector', 'attractive', '4')",25.98
59,42,flow,attractive,1,"('42', 'flow', 'attractive', '1')",0.0
60,39,vector,attractive,3,"('39', 'vector', 'attractive', '3')",11.74
61,33,flow,attractive,2,"('33', 'flow', 'attractive', '2')",30.25
62,49,vector,attractive,3,"('49', 'vector', 'attractive', '3')",35.94
63,23,flow,attractive,2,"('23', 'flow', 'attractive', '2')",6.41
64,27,vector,attractive,1,"('27', 'vector', 'attractive', '1')",0.0
65,46,vector,attractive,0,"('46', 'vector', 'attractive', '0')",0.0
66,22,flow,attractive,1,"('22', 'flow', 'attractive', '1')",50.18
67,36,vector,attractive,0,"('36', 'vector', 'attractive', '0')",0.0
68,1,flow,attractive,0,"('1', 'flow', 'attractive', '0')",61.92
69,18,vector,attractive,2,"('18', 'vector', 'attractive', '2')",0.0
70,38,vector,attractive,2,"('38', 'vector', 'attractive', '2')",48.04
71,9,vector,attractive,3,"('9', 'vector', 'attractive', '3')",0.0
72,17,vector,attractive,1,"('17', 'vector', 'attractive', '1')",29.18
73,26,vector,attractive,0,"('26', 'vector', 'attractive', '0')",0.0
74,13,flow,attractive,2,"('13', 'flow', 'attractive', '2')",25.62
75,44,flow,attractive,3,"('44', 'flow', 'attractive', '3')",80.78
76,15,flow,attractive,4,"('15', 'flow', 'attractive', '4')",69.04
77,12,flow,attractive,1,"('12', 'flow', 'attractive', '1')",0.0
78,35,flow,attractive,4,"('35', 'flow', 'attractive', '4')",2.14
79,28,vector,attractive,2,"('28', 'vector', 'attractive', '2')",39.15
80,21,flow,attractive,0,"('21', 'flow', 'attractive', '0')",0.0
81,6,vector,attractive,0,"('6', 'vector', 'attractive', '0')",0.0
82,43,flow,attractive,2,"('43', 'flow', 'attractive', '2')",0.0
83,45,flow,attractive,4,"('45', 'flow', 'attractive', '4')",46.62
84,29,vector,attractive,3,"('29', 'vector', 'attractive', '3')",0.0
85,30,vector,attractive,4,"('30', 'vector', 'attractive', '4')",17.08
86,5,flow,attractive,4,"('5', 'flow', 'attractive', '4')",10.07
87,37,vector,attractive,1,"('37', 'vector', 'attractive', '1')",31.32
88,48,vector,attractive,2,"('48', 'vector', 'attractive', '2')",44.48
89,0,vector,attractive,4,"('0', 'vector', 'attractive', '4')",0.0
90,24,flow,attractive,3,"('24', 'flow', 'attractive', '3')",0.0
91,14,flow,attractive,3,"('14', 'flow', 'attractive', '3')",0.0
92,32,flow,attractive,1,"('32', 'flow', 'attractive', '1')",0.0
93,47,vector,attractive,1,"('47', 'vector', 'attractive', '1')",12.81
94,7,vector,attractive,1,"('7', 'vector', 'attractive', '1')",28.47
95,2,flow,attractive,1,"('2', 'flow', 'attractive', '1')",0.0
96,8,vector,attractive,2,"('8', 'vector', 'attractive', '2')",0.0
97,3,flow,attractive,2,"('3', 'flow', 'attractive', '2')",0.0
98,25,flow,attractive,4,"('25', 'flow', 'attractive', '4')",0.0
99,19,vector,attractive,3,"('19', 'vector', 'attractive', '3')",41.64
100,17,vector,attractive,2,"('17', 'vector', 'attractive', '2')",81.1
101,37,vector,attractive,2,"('37', 'vector', 'attractive', '2')",86.33
102,34,flow,attractive,4,"('34', 'flow', 'attractive', '4')",50.8
103,20,flow,attractive,0,"('20', 'flow', 'attractive', '0')",49.73
104,47,vector,attractive,2,"('47', 'vector', 'attractive', '2')",60.72
105,39,vector,attractive,4,"('39', 'vector', 'attractive', '4')",70.64
106,38,vector,attractive,3,"('38', 'vector', 'attractive', '3')",29.49
107,19,vector,attractive,4,"('19', 'vector', 'attractive', '4')",28.69
108,11,flow,attractive,1,"('11', 'flow', 'attractive', '1')",49.6
109,36,vector,attractive,1,"('36', 'vector', 'attractive', '1')",40.08
110,42,flow,attractive,2,"('42', 'flow', 'attractive', '2')",60.32
111,22,flow,attractive,2,"('22', 'flow', 'attractive', '2')",40.21
112,21,flow,attractive,1,"('21', 'flow', 'attractive', '1')",45.31
113,13,flow,attractive,3,"('13', 'flow', 'attractive', '3')",43.97
114,44,flow,attractive,4,"('44', 'flow', 'attractive', '4')",80.16
115,1,flow,attractive,1,"('1', 'flow', 'attractive', '1')",45.71
116,43,flow,attractive,3,"('43', 'flow', 'attractive', '3')",65.01
117,26,vector,attractive,1,"('26', 'vector', 'attractive', '1')",50.67
118,0,flow,attractive,0,"('0', 'flow', 'attractive', '0')",19.44
119,8,vector,attractive,3,"('8', 'vector', 'attractive', '3')",32.71
120,48,vector,attractive,3,"('48', 'vector', 'attractive', '3')",80.29
121,4,flow,attractive,4,"('4', 'flow', 'attractive', '4')",76.81
122,40,flow,attractive,0,"('40', 'flow', 'attractive', '0')",54.42
123,2,flow,attractive,2,"('2', 'flow', 'attractive', '2')",58.58
124,31,flow,attractive,1,"('31', 'flow', 'attractive', '1')",64.88
125,23,flow,attractive,3,"('23', 'flow', 'attractive', '3')",81.9
126,35,vector,attractive,0,"('35', 'vector', 'attractive', '0')",39.54
127,33,flow,attractive,3,"('33', 'flow', 'attractive', '3')",70.24
128,3,flow,attractive,3,"('3', 'flow', 'attractive', '3')",74.93
129,6,vector,attractive,1,"('6', 'vector', 'attractive', '1')",29.22
130,15,vector,attractive,0,"('15', 'vector', 'attractive', '0')",19.03
131,18,vector,attractive,3,"('18', 'vector', 'attractive', '3')",40.21
132,27,vector,attractive,2,"('27', 'vector', 'attractive', '2')",29.36
133,32,flow,attractive,2,"('32', 'flow', 'attractive', '2')",65.55
134,25,vector,attractive,0,"('25', 'vector', 'attractive', '0')",8.58
135,28,vector,attractive,3,"('28', 'vector', 'attractive', '3')",39.41
136,9,vector,attractive,4,"('9', 'vector', 'attractive', '4')",49.73
137,7,vector,attractive,2,"('7', 'vector', 'attractive', '2')",49.46
138,24,flow,attractive,4,"('24', 'flow', 'attractive', '4')",69.97
139,16,vector,attractive,1,"('16', 'vector', 'attractive', '1')",49.06
140,10,flow,attractive,0,"('10', 'flow', 'attractive', '0')",70.11
141,30,flow,attractive,0,"('30', 'flow', 'attractive', '0')",70.24
142,41,flow,attractive,1,"('41', 'flow', 'attractive', '1')",75.47
143,49,vector,attractive,4,"('49', 'vector', 'attractive', '4')",80.83
144,46,vector,attractive,1,"('46', 'vector', 'attractive', '1')",9.38
145,14,flow,attractive,4,"('14', 'flow', 'attractive', '4')",69.97
146,29,vector,attractive,4,"('29', 'vector', 'attractive', '4')",80.43
147,12,flow,attractive,2,"('12', 'flow', 'attractive', '2')",80.97
148,45,vector,attractive,0,"('45', 'vector', 'attractive', '0')",80.7
149,5,vector,attractive,0,"('5', 'vector', 'attractive', '0')",29.09
150,8,vector,trustworthy,3,"('8', 'vector', 'trustworthy', '3')",39.68
151,49,vector,trustworthy,4,"('49', 'vector', 'trustworthy', '4')",39.54
152,19,vector,trustworthy,4,"('19', 'vector', 'trustworthy', '4')",22.52
153,27,vector,trustworthy,2,"('27', 'vector', 'trustworthy', '2')",49.73
154,23,flow,trustworthy,3,"('23', 'flow', 'trustworthy', '3')",60.05
155,17,vector,trustworthy,2,"('17', 'vector', 'trustworthy', '2')",19.17
156,32,flow,trustworthy,2,"('32', 'flow', 'trustworthy', '2')",49.73
157,2,flow,trustworthy,2,"('2', 'flow', 'trustworthy', '2')",39.95
158,5,vector,trustworthy,0,"('5', 'vector', 'trustworthy', '0')",29.62
159,12,flow,trustworthy,2,"('12', 'flow', 'trustworthy', '2')",19.03
160,26,vector,trustworthy,1,"('26', 'vector', 'trustworthy', '1')",50.0
161,29,vector,trustworthy,4,"('29', 'vector', 'trustworthy', '4')",0.0
162,15,vector,trustworthy,0,"('15', 'vector', 'trustworthy', '0')",18.63
163,43,flow,trustworthy,3,"('43', 'flow', 'trustworthy', '3')",60.32
164,31,flow,trustworthy,1,"('31', 'flow', 'trustworthy', '1')",59.12
165,22,flow,trustworthy,2,"('22', 'flow', 'trustworthy', '2')",19.17
166,18,vector,trustworthy,3,"('18', 'vector', 'trustworthy', '3')",50.0
167,33,flow,trustworthy,3,"('33', 'flow', 'trustworthy', '3')",60.32
168,41,flow,trustworthy,1,"('41', 'flow', 'trustworthy', '1')",59.65
169,3,flow,trustworthy,3,"('3', 'flow', 'trustworthy', '3')",58.18
170,28,vector,trustworthy,3,"('28', 'vector', 'trustworthy', '3')",50.8
171,36,vector,trustworthy,1,"('36', 'vector', 'trustworthy', '1')",39.54
172,45,vector,trustworthy,0,"('45', 'vector', 'trustworthy', '0')",60.32
173,47,vector,trustworthy,2,"('47', 'vector', 'trustworthy', '2')",18.1
174,44,flow,trustworthy,4,"('44', 'flow', 'trustworthy', '4')",39.95
175,10,flow,trustworthy,0,"('10', 'flow', 'trustworthy', '0')",28.95
176,40,flow,trustworthy,0,"('40', 'flow', 'trustworthy', '0')",54.96
177,30,flow,trustworthy,0,"('30', 'flow', 'trustworthy', '0')",60.72
178,34,flow,trustworthy,4,"('34', 'flow', 'trustworthy', '4')",70.51
179,4,flow,trustworthy,4,"('4', 'flow', 'trustworthy', '4')",54.42
180,0,flow,trustworthy,0,"('0', 'flow', 'trustworthy', '0')",35.79
181,24,flow,trustworthy,4,"('24', 'flow', 'trustworthy', '4')",29.36
182,48,vector,trustworthy,3,"('48', 'vector', 'trustworthy', '3')",60.59
