,features,rating,image,dim,level
1,"('0', 'flow', 'attractive', '1')",23.389714285714284,0,attractive,1
2,"('0', 'flow', 'attractive', '2')",28.90162162162162,0,attractive,2
3,"('0', 'flow', 'attractive', '3')",30.533214285714283,0,attractive,3
4,"('0', 'flow', 'attractive', '4')",43.332424242424246,0,attractive,4
6,"('0', 'flow', 'trustworthy', '1')",63.36914285714286,0,trustworthy,1
7,"('0', 'flow', 'trustworthy', '2')",69.58351351351352,0,trustworthy,2
8,"('0', 'flow', 'trustworthy', '3')",73.08035714285714,0,trustworthy,3
9,"('0', 'flow', 'trustworthy', '4')",66.4090909090909,0,trustworthy,4
21,"('1', 'flow', 'attractive', '1')",50.1935,1,attractive,1
22,"('1', 'flow', 'attractive', '2')",68.44685714285714,1,attractive,2
23,"('1', 'flow', 'attractive', '3')",73.39675675675676,1,attractive,3
24,"('1', 'flow', 'attractive', '4')",79.12,1,attractive,4
26,"('1', 'flow', 'trustworthy', '1')",56.325250000000004,1,trustworthy,1
27,"('1', 'flow', 'trustworthy', '2')",65.26914285714285,1,trustworthy,2
28,"('1', 'flow', 'trustworthy', '3')",55.61567567567568,1,trustworthy,3
29,"('1', 'flow', 'trustworthy', '4')",60.5375,1,trustworthy,4
41,"('10', 'flow', 'attractive', '1')",59.52171428571429,10,attractive,1
42,"('10', 'flow', 'attractive', '2')",69.52864864864864,10,attractive,2
43,"('10', 'flow', 'attractive', '3')",78.15107142857143,10,attractive,3
44,"('10', 'flow', 'attractive', '4')",81.90575757575758,10,attractive,4
46,"('10', 'flow', 'trustworthy', '1')",52.55,10,trustworthy,1
47,"('10', 'flow', 'trustworthy', '2')",57.74594594594594,10,trustworthy,2
48,"('10', 'flow', 'trustworthy', '3')",56.54571428571428,10,trustworthy,3
49,"('10', 'flow', 'trustworthy', '4')",47.24030303030303,10,trustworthy,4
61,"('11', 'flow', 'attractive', '1')",64.73474999999999,11,attractive,1
62,"('11', 'flow', 'attractive', '2')",71.70371428571428,11,attractive,2
63,"('11', 'flow', 'attractive', '3')",72.25918918918919,11,attractive,3
64,"('11', 'flow', 'attractive', '4')",72.33,11,attractive,4
66,"('11', 'flow', 'trustworthy', '1')",59.3575,11,trustworthy,1
67,"('11', 'flow', 'trustworthy', '2')",50.95542857142857,11,trustworthy,2
68,"('11', 'flow', 'trustworthy', '3')",60.29756756756756,11,trustworthy,3
69,"('11', 'flow', 'trustworthy', '4')",62.10142857142857,11,trustworthy,4
81,"('12', 'flow', 'attractive', '1')",42.431666666666665,12,attractive,1
82,"('12', 'flow', 'attractive', '2')",41.7755,12,attractive,2
83,"('12', 'flow', 'attractive', '3')",47.25685714285714,12,attractive,3
84,"('12', 'flow', 'attractive', '4')",52.26432432432432,12,attractive,4
86,"('12', 'flow', 'trustworthy', '1')",47.59466666666666,12,trustworthy,1
87,"('12', 'flow', 'trustworthy', '2')",47.878,12,trustworthy,2
88,"('12', 'flow', 'trustworthy', '3')",45.978857142857144,12,trustworthy,3
89,"('12', 'flow', 'trustworthy', '4')",49.012972972972975,12,trustworthy,4
101,"('13', 'flow', 'attractive', '1')",46.84068965517242,13,attractive,1
102,"('13', 'flow', 'attractive', '2')",48.016333333333336,13,attractive,2
103,"('13', 'flow', 'attractive', '3')",54.807500000000005,13,attractive,3
104,"('13', 'flow', 'attractive', '4')",61.33057142857143,13,attractive,4
106,"('13', 'flow', 'trustworthy', '1')",48.243448275862065,13,trustworthy,1
107,"('13', 'flow', 'trustworthy', '2')",54.986999999999995,13,trustworthy,2
108,"('13', 'flow', 'trustworthy', '3')",57.967999999999996,13,trustworthy,3
109,"('13', 'flow', 'trustworthy', '4')",62.43828571428572,13,trustworthy,4
121,"('14', 'flow', 'attractive', '1')",39.83358974358974,14,attractive,1
122,"('14', 'flow', 'attractive', '2')",43.86724137931035,14,attractive,2
123,"('14', 'flow', 'attractive', '3')",43.688,14,attractive,3
124,"('14', 'flow', 'attractive', '4')",52.44,14,attractive,4
126,"('14', 'flow', 'trustworthy', '1')",53.35025641025641,14,trustworthy,1
127,"('14', 'flow', 'trustworthy', '2')",59.89896551724138,14,trustworthy,2
128,"('14', 'flow', 'trustworthy', '3')",59.284666666666666,14,trustworthy,3
129,"('14', 'flow', 'trustworthy', '4')",67.60650000000001,14,trustworthy,4
