,features,rating,image,dim,level
10,"('0', 'vector', 'attractive', '0')",18.95,0,attractive,0
11,"('0', 'vector', 'attractive', '1')",20.958846153846153,0,attractive,1
12,"('0', 'vector', 'attractive', '2')",26.60538461538461,0,attractive,2
13,"('0', 'vector', 'attractive', '3')",24.395172413793105,0,attractive,3
14,"('0', 'vector', 'attractive', '4')",26.406,0,attractive,4
15,"('0', 'vector', 'trustworthy', '0')",72.38452380952381,0,trustworthy,0
16,"('0', 'vector', 'trustworthy', '1')",63.691923076923075,0,trustworthy,1
17,"('0', 'vector', 'trustworthy', '2')",67.67384615384616,0,trustworthy,2
18,"('0', 'vector', 'trustworthy', '3')",62.65068965517241,0,trustworthy,3
19,"('0', 'vector', 'trustworthy', '4')",63.38033333333333,0,trustworthy,4
30,"('1', 'vector', 'attractive', '0')",52.47878787878788,1,attractive,0
31,"('1', 'vector', 'attractive', '1')",55.00928571428571,1,attractive,1
32,"('1', 'vector', 'attractive', '2')",57.53576923076923,1,attractive,2
33,"('1', 'vector', 'attractive', '3')",58.26794871794871,1,attractive,3
34,"('1', 'vector', 'attractive', '4')",60.95517241379311,1,attractive,4
35,"('1', 'vector', 'trustworthy', '0')",53.52818181818182,1,trustworthy,0
36,"('1', 'vector', 'trustworthy', '1')",53.75619047619047,1,trustworthy,1
37,"('1', 'vector', 'trustworthy', '2')",55.425384615384615,1,trustworthy,2
38,"('1', 'vector', 'trustworthy', '3')",50.85307692307692,1,trustworthy,3
39,"('1', 'vector', 'trustworthy', '4')",51.392413793103444,1,trustworthy,4
50,"('10', 'vector', 'attractive', '0')",51.64833333333333,10,attractive,0
51,"('10', 'vector', 'attractive', '1')",46.310769230769225,10,attractive,1
52,"('10', 'vector', 'attractive', '2')",49.693333333333335,10,attractive,2
53,"('10', 'vector', 'attractive', '3')",51.43689655172414,10,attractive,3
54,"('10', 'vector', 'attractive', '4')",46.57833333333333,10,attractive,4
