photo,Theta,sigma,n
1.jpg,0.43148069635271824,0.5514886228284691,47
10.jpg,0.4134633185994319,0.5659219180320585,44
100.jpg,0.3184881866848956,0.6419710952783523,43
1000.jpg,0.3714441739836709,0.5995544149084602,42
1001.jpg,-0.07895785812167828,0.9646056738731889,34
1002.jpg,0.3600572177292731,0.6086967605325602,33
1003.jpg,0.2877054237623838,0.6666166532854358,34
1004.jpg,-3.597178544467038,3.7760210524790465,37
101.jpg,0.4168129797764547,0.5632823199526351,44
102.jpg,0.49064904196309844,0.5040761648364934,43
103.jpg,0.29810710631561943,0.6582682402619755,42
104.jpg,0.35551185124709406,0.6123239521654379,47
105.jpg,0.3236224144526815,0.6378590328957194,39
106.jpg,0.3011166251372083,0.6558530890945632,45
107.jpg,0.3821818336277981,0.5909785812076188,41
108.jpg,0.2834386019059623,0.6700303040302151,41
109.jpg,0.29766070242642173,0.6586164999677222,33
11.jpg,0.3741370110405818,0.5974211567360745,42
110.jpg,-3.324326264165065,3.5613260632369212,36
111.jpg,0.45385184305289156,0.533583751657393,37
112.jpg,0.2906934425907756,0.664204868061704,37
113.jpg,0.23942426991026503,0.7054618848666746,35
114.jpg,-4.0477149635191445,4.138040931269462,35
115.jpg,0.3208073559188876,0.6400947240662681,39
116.jpg,0.47622470351721197,0.5156467106702923,35
117.jpg,0.363451752690269,0.6059666692214049,35
118.jpg,0.39023521100454056,0.584517266827477,38
119.jpg,0.3167806721296644,0.6433244495629299,36
12.jpg,-2.1533522254930664,2.6230972593169057,44
120.jpg,-0.3596526835538146,1.1919096429051534,37
121.jpg,0.0685818833568082,0.8430228027122924,39
122.jpg,0.3040053588847003,0.6535453995357143,38
123.jpg,0.4887227626238382,0.5056777223140559,37
124.jpg,0.31111238052533313,0.647845424771631,38
125.jpg,0.4778513371893924,0.5143515056015134,36
126.jpg,0.4257231079652969,0.5561298126638539,34
127.jpg,-2.8168532280263205,3.1555184329055077,38
128.jpg,0.3129027365188188,0.6464255214775313,40
129.jpg,-2.925837371277577,3.240726297749442,38
13.jpg,0.4062289401623181,0.5717034776037402,42
130.jpg,0.42667070720143374,0.555334522534513,39
131.jpg,0.2998324794407879,0.6568963240668517,35
132.jpg,0.4365656852957666,0.5474174036033859,39
133.jpg,0.25083778986681055,0.6962172287490299,41
134.jpg,0.39763055071564085,0.578615165123032,38
