rating_int,y_unit,psi,bin_count,alpha_prior,baseline_cum
0,0.0049504950495049506,0.0,910.0,27851.02111192531,0.0
1,0.01485148514851485,0.009828795567924356,537.0,47160.372180230406,0.00068090066517449
2,0.024752475247524754,0.01977500858142816,417.0,57125.47615211968,0.0013457461708557196
3,0.034653465346534656,0.029369580022136167,543.0,46640.221016477866,0.0019969628051718777
4,0.04455445544554455,0.03904462343395414,519.0,48792.846601853766,0.002655677851986291
5,0.054455445544554455,0.04837276074290901,587.0,43150.13645061898,0.00331577774074858
6,0.06435643564356436,0.0588052328734381,501.0,50542.39090231864,0.003979379140452246
7,0.07425742574257425,0.06698257607627157,673.0,37644.33268985751,0.00464025589177066
8,0.08415841584158416,0.07630915152880238,638.0,39706.22884657896,0.005312644845460644
9,0.09405940594059406,0.08595418280972414,741.0,34194.447753320695,0.005986919661152818
10,0.10396039603960396,0.0951210375413119,675.0,37532.9589245029,0.006667606407652432
11,0.11386138613861387,0.1043133072272988,888.0,28540.247731118063,0.007348428260683547
12,0.12376237623762376,0.11226165853947653,902.0,28097.763270170497,0.008045158907798798
13,0.13366336633663367,0.11852907928887635,991.0,25576.895396133023,0.008748093196485427
14,0.14356435643564355,0.1248961355788055,1002.0,25296.391059784604,0.009458463973843374
15,0.15346534653465346,0.1256131997589115,1258.0,20152.724569470978,0.010175528153949388
16,0.16336633663366337,0.14068364620551127,1150.0,22043.68395565939,0.010911130076064975
17,0.17326732673267325,0.14521343517939966,1250.0,20281.59890724537,0.011644232527347812
18,0.18316831683168316,0.14595561791548708,1429.0,17742.853309765007,0.012386415263435218
19,0.19306930693069307,0.14785068403224919,1506.0,16836.284162550735,0.013145694605196196
20,0.20297029702970298,0.15163948693181015,1493.0,16982.784627151246,0.01391384594252568
21,0.21287128712871287,0.152410329140892,1636.0,15499.254876581526,0.01468468815160754
22,0.22277227722772278,0.1531981666257488,1988.0,12756.299765190528,0.01547252563646435
23,0.23267326732673269,0.15401280023935315,1789.0,14174.458230706123,0.016287159250068677
24,0.24257425742574257,0.15481870822279808,1849.0,13714.74607187241,0.01709306723351362
25,0.2524752475247525,0.15563245238507004,2232.0,11362.41837571158,0.017906811395785573
26,0.2623762376237624,0.15647476031987664,2076.0,12215.830636959055,0.018749119330592166
27,0.2722772277227723,0.15731402835772448,2241.0,11316.806526745744,0.01958838736844001
28,0.28217821782178215,0.15816065970153909,2063.0,12292.771430699593,0.02043501871225461
29,0.29207920792079206,0.1590019430784818,2412.0,10514.828111464549,0.021276302089197327
30,0.30198019801980197,0.15986938082814742,2510.0,10104.45250217601,0.02214373983886294
31,0.3118811881188119,0.16075771505468503,2941.0,8624.160514263753,0.023032074065400567
32,0.3217821782178218,0.16167922356414474,2796.0,9071.24784875365,0.023953582574860275
33,0.3316831683168317,0.1681601449594602,2787.0,9100.53093004446,0.024870790193067233
34,0.3415841584158416,0.17725370305609872,2589.0,9796.24719419458,0.025781495809445748
35,0.35148514851485146,0.17815248552107235,2816.0,9006.844243153695,0.02668027827441938
36,0.3613861386138614,0.17906787483054287,2938.0,8632.963672325268,0.0275956675838899
37,0.3712871287128713,0.18412151273445107,2809.0,9029.281221695359,0.02852232702986305
38,0.3811881188118812,0.18503878227648496,2733.0,9280.278066190182,0.029439596571896945
39,0.3910891089108911,0.18595068696333056,2899.0,8749.062149297917,0.030351501258742523
40,0.400990099009901,0.1868774815158352,3082.0,8229.737344457983,0.03127829581124717
41,0.41089108910891087,0.18782425494668542,3245.0,7816.475734123216,0.0322250692420974
42,0.4207920792079208,0.1899943524232351,3165.0,8013.986175920391,0.033186428548910823
43,0.4306930693069307,0.19095063960567846,3075.0,8248.465615397907,0.03414271573135418
44,0.4405940594059406,0.191899175050877,3116.0,8139.967992609547,0.03509125117655272
45,0.4504950495049505,0.1928561265071002,3513.0,7220.341557474092,0.03604820263277595
46,0.4603960396039604,0.19385628953564824,4178.0,6071.375983001665,0.03704836566132396
47,0.47029702970297027,0.1949250078700549,4737.0,5355.061256429709,0.03811708399573064
48,0.4801980198019802,0.196062439134607,5532.0,4585.62809198698,0.03925451526028274
49,0.4900990099009901,0.19726855518211045,5330.0,4759.384774519594,0.040460631307786196
50,0.5,0.21855487779434518,4360.0,5817.995925926154,0.04164787184695133
51,0.5099009900990099,0.2489351811153734,3965.0,6397.448369380726,0.04274858228212947
52,0.5198019801980198,0.2785235521675451,3756.0,6753.33516980675,0.04379825059559464
53,0.5297029702970297,0.29059090682474076,3835.0,6614.254492430646,0.04482611046310017
54,0.5396039603960396,0.29807074969321906,3553.0,7139.077161779392,0.04585190432656151
55,0.5495049504950495,0.29908708609947543,4230.0,5996.757322846598,0.04686824073281785
56,0.5594059405940595,0.31883414608650285,3458.0,7335.1489543116395,0.04792013267461395
57,0.5693069306930693,0.33487034020675255,3429.0,7397.166248677539,0.04892212527077602
58,0.5792079207920792,0.3464288799384601,3386.0,7491.0777186194155,0.049908068336883646
59,0.5891089108910891,0.3564438990451788,3043.0,8335.177474692497,0.05088434002711139
60,0.599009900990099,0.37846526850623,2804.0,9045.376197135101,0.05182881664692612
61,0.6089108910891089,0.39891800314274234,2793.0,9080.987914446658,0.05274847870045533
62,0.6188118811881188,0.4211513387586392,2387.0,10624.907970252914,0.05365638085630522
63,0.6287128712871287,0.42656120758623195,2488.0,10193.764657679372,0.05453380523042421
64,0.6386138613861386,0.44384752248967185,2155.0,11768.219031986993,0.055406709165176767
65,0.6485148514851485,0.4624658915450886,2207.0,11491.06894608875,0.056255952568600366
66,0.6584158415841584,0.49940783233930197,1888.0,13431.593559006862,0.05709828302116221
67,0.6683168316831684,0.5071177975137634,1912.0,13263.084282783042,0.05791675591203666
68,0.6782178217821783,0.5716224100798506,1442.0,17583.00778445181,0.058723795412682925
69,0.6881188118811881,0.580274942865648,1477.0,17166.63073948847,0.059494789616612725
70,0.698019801980198,0.5810408762040853,1484.0,17085.710594588523,0.06026072295505008
71,0.7079207920792079,0.6119361279072563,1315.0,19279.848201340395,0.06102494494408844
72,0.7178217821782178,0.6467603662359245,1157.0,21910.43198010705,0.06177329754511435
73,0.7277227722772277,0.6571488587855576,1083.0,23406.162576535018,0.06250509396659268
74,0.7376237623762376,0.6877574192570101,937.0,27049.339267552197,0.06322592424126426
75,0.7475247524752475,0.6966925346074941,990.0,25602.70457413114,0.0639348932883579
76,0.7574257425742574,0.7156830153261873,793.0,31955.012887863926,0.06464224668651235
77,0.7673267326732673,0.7275506514454242,778.0,32570.321223317023,0.06533471584844654
78,0.7772277227722773,0.7513819260351631,722.0,35093.05703037891,0.0660217300841714
79,0.7871287128712872,0.7681773709352209,615.0,41188.76661195448,0.06670227046526189
80,0.7970297029702971,0.7798419778376358,723.0,35044.585957132535,0.067375256139466
81,0.806930693069307,0.7944408083111034,517.0,48981.23597097289,0.06805146748210968
82,0.8168316831683168,0.8082210282631842,496.0,51050.86565988724,0.06871291280674816
83,0.8267326732673267,0.8188203974126482,446.0,56761.253317592746,0.06936837966736775
84,0.8366336633663366,0.8303670541050875,419.0,57125.47615211968,0.0700190952816296
85,0.8465346534653465,0.8358371683324055,449.0,56382.84496214213,0.07066734520169157
86,0.8564356435643564,0.8448338468413089,311.0,57125.47615211968,0.07131517291384261
87,0.8663366336633663,0.857950192746145,327.0,57125.47615211968,0.071952901412764
88,0.8762376237623762,0.8746816383298995,214.0,57125.47615211968,0.07258765193855359
89,0.8861386138613861,0.8828070949996198,280.0,57125.47615211968,0.07321488153408967
90,0.8960396039603961,0.8927370510272645,169.0,57125.47615211968,0.0738435297482065
91,0.905940594059406,0.9043731483221313,187.0,57125.47615211968,0.07446484843298945
92,0.9158415841584159,0.9137844955311035,201.0,57125.47615211968,0.07508594756965871
93,0.9257425742574258,0.9247760378333986,123.0,57125.47615211968,0.07570713677734897
94,0.9356435643564357,0.9376468927542638,153.0,57125.47615211968,0.07632292172377923
95,0.9455445544554455,0.948208732946529,136.0,57125.47615211968,0.07693946664444919
96,0.9554455445544554,0.9585311433649009,90.0,57125.47615211968,0.07755440154561875
