ENGLISHword	POLISHword	NumberoflettersinPolish	Ciepło_M	Kompetencja_M	Ciepło_N	Kompetencja_N	subtlex_plfrequency	Kazojć2011frequency	partofspeach	NumberofLetters	Valence_N	Valence_MIN	Valence_MAX	Valence_M	Valence_SD	arousal_N	arousal_MIN	arousal_MAX	arousal_M	arousal_SD	dominance_N	dominance_MIN	dominance_MAX	dominance_M	dominance_SD	origin_N	origin_MIN	origin_MAX	origin_M	origin_SD	significance_N	significance_MIN	significance_MAX	significance_M	significance_SD	concretness_N	concretness_MIN	concretness_MAX	concretness_M	concretness_SD	imegability_N	imegability_MIN	imegability_MAX	imegability_M	imegability_SD	ageOfAquisition_N	ageOfAquisition_MIN	ageOfAquisition_MAX	ageOfAquisition_M	ageOfAquisition_SD	Valence_N_Female	Valence_MIN_Female	Valence_MAX_Female	Valence_M_Female	Valence_SD_Female	arousal_N_Female	arousal_MIN_Female	arousal_MAX_Female	arousal_M_Female	arousal_SD_Female	dominance_N_Female	dominance_MIN_Female	dominance_MAX_Female	dominance_M_Female	dominance_SD_Female	origin_N_Female	origin_MIN_Female	origin_MAX_Female	origin_M_Female	origin_SD_Female	significance_N_Female	significance_MIN_Female	significance_MAX_Female	significance_M_Female	significance_SD_Female	concretness_N_Female	concretness_MIN_Female	concretness_MAX_Female	concretness_M_Female	concretness_SD_Female	imegability_N_Female	imegability_MIN_Female	imegability_MAX_Female	imegability_M_Female	imegability_SD_Female	ageOfAquisition_N_Female	ageOfAquisition_MIN_Female	ageOfAquisition_MAX_Female	ageOfAquisition_M_Female	ageOfAquisition_SD_Female	Valence_N_Male	Valence_MIN_Male	Valence_MAX_Male	Valence_M_Male	Valence_SD_Male	arousal_N_Male	arousal_MIN_Male	arousal_MAX_Male	arousal_M_Male	arousal_SD_Male	dominance_N_Male	dominance_MIN_Male	dominance_MAX_Male	dominance_M_Male	dominance_SD_Male	origin_N_Male	origin_MIN_Male	origin_MAX_Male	origin_M_Male	origin_SD_Male	significance_N_Male	significance_MIN_Male	significance_MAX_Male	significance_M_Male	significance_SD_Male	concretness_N_Male	concretness_MIN_Male	concretness_MAX_Male	concretness_M_Male	concretness_SD_Male	imegability_N_Male	imegability_MIN_Male	imegability_MAX_Male	imegability_M_Male	imegability_SD_Male	ageOfAquisition_N_Male	ageOfAquisition_MIN_Male	ageOfAquisition_MAX_Male	ageOfAquisition_M_Male	ageOfAquisition_SD_Male	Ady	POSITIVITYmean	NEGEATIVITYmean	AUTOMATICITYmean	REFLECTIVENESSmean	SUBJECTIVESIGNIFICANCEmean	AROUSALmean	ambiVALmean	ambiORImean	ambiACTmean	CategoryambiACT	CategoryambiORI	CategoryambiVAL	V1
FALSE	Fałsz	5	48,8333333333333	20,9642857142857	30	28	236	427	N	5	50	1	7	2,68	1,26877733206712	49	1	9	5,14285714285714	2,28217732293819	50	1	8	4,04	1,7374623766298	50	1	9	5,56	2,01180191340388	50	1	9	4,38	2,12746855416939	50	2	9	6,76	1,67283213352051	50	1	9	4,56	2,3832750575626	50	4	13	8,56	2,46742036655818	25	1	5	2,52	1,29486163997034	24	1	9	5,79166666666667	2,08470969028151	25	1	8	4,12	1,98578280114753	25	3	9	5,84	1,62480768092719	25	1	9	4,96	2,35372045918796	25	2	9	6,72	1,98997487421324	25	1	9	4,6	2,34520787991171	25	4	13	8,4	2,70801280154532	25	1	7	2,84	1,24766448481419	25	1	9	4,52	2,32952069462082	25	2	7	3,96	1,48548533034381	25	1	9	5,28	2,33666428910958	25	1	7	3,8	1,73205080756888	25	4	9	6,8	1,3228756555323	25	1	9	4,52	2,46846781087648	25	5	13	8,72	2,24573670169353	 	6,1	64	18,2	65,28	73,67	76,56	70,1	83,48	150,22	2	0,2	0,2	 
truth	Prawda	6	75,2058823529412	80,7037037037037	34	27	109391	43707	N	6	50	5	9	7,16	1,25128505374047	50	1	9	3,56	2,26021490760756	50	3	9	6,94	1,44857424626381	50	1	9	6,08	2,63291566480189	50	2	9	5,66	2,43788131501975	50	1	9	6,62	2,38951792593555	50	1	9	4,08	2,48948810409051	50	3	16	7,8	3,38664845460849	25	5	9	7,36	1,31909059582729	25	1	9	4,16	2,62488094968134	25	3	9	6,68	1,49220195237329	25	1	9	6,52	2,25684145064143	25	2	9	6,36	2,39582971014219	25	3	9	7,16	1,86368809979925	25	1	9	3,92	2,61278905896872	25	3	16	7,12	3,15330514434194	25	5	9	6,96	1,17189305541646	25	1	7	2,96	1,67032930884901	25	4	9	7,2	1,38443731048635	25	1	9	5,64	2,94222138301431	25	2	9	4,96	2,31804515342849	25	1	9	6,08	2,75257455242663	25	1	9	4,24	2,40277617212535	25	3	16	8,48	3,53694783676548	 	68,79	21,58	66,21	51	80,52	54,18	90,36	117,21	134,7	1	1	0,1	 
deficient	niedobór	8	20,6071428571429	31,2857142857143	28	28	26	14	N	10	50	1	5	3,5	0,952976004580452	50	1	8	3,88	1,92343230625221	50	1	9	3,56	1,57997675002269	50	1	9	5,66	1,98576567251084	50	1	8	3,14	1,9273541131694	49	1	9	5,77551020408163	1,97130779478211	50	1	9	3,68	2,41964746968459	49	4	17	11,3877551020408	2,70659939261592	25	1	5	3,36	1,18602979164381	25	1	8	5,32	1,95192212959431	25	1	9	3,52	1,75878746110306	25	2	8	5,36	1,99749843554382	25	1	8	4,48	2,27522892621087	25	3	9	5,6	1,68325082306035	25	1	9	5,12	2,35088635766739	25	4	15	9,72	3,11608729017658	25	2	6	3,72	0,737111479583199	25	1	8	3,52	2,18174242292714	25	1	9	3,68	1,57374288454838	25	1	8	4,64	2,0387904911164	25	1	8	3,2	2,04124145231932	25	2	9	5,64	2,0591260281974	25	1	8	5	1,95789002074512	25	4	15	9,44	3,0967725134404	 	6,12	75	13,24	54,59	37,62	64	81,12	67,82	101,62	1	0,2	0,2	26
rape	gwałt	5	19,0769230769231	7,42857142857143	26	28	886	1012	N	5	50	1	6	1,44	0,884330716602409	50	2	9	7,14	2,02040610183362	50	1	9	3,66	2,87572528562228	50	1	9	4,32	2,43645778346604	50	1	9	5,22	2,65952274374366	50	1	8	3,74	2,16474535430373	50	1	9	7,22	2,06318556942354	50	4	17	12,1	2,81577190634672	25	1	3	1,28	0,541602560309064	25	4	9	7,6	1,68325082306035	25	1	9	3,16	2,98161030317512	25	1	9	4,76	2,40277617212535	25	1	9	6,04	2,89367125522809	25	1	7	2,72	1,86010752377383	25	1	9	7,64	2,07926268983343	25	4	17	12,68	2,91147156377435	25	1	6	1,6	1,11803398874989	25	2	9	6,68	2,2494443758404	25	1	9	4,16	2,73373980717502	25	1	9	3,88	2,43789526709687	25	1	8	4,4	2,16024689946929	25	1	8	4,76	1,98494332412792	25	1	9	6,8	2	25	7	17	11,52	2,64764045897475	 	2,3	96,2	35,47	45,89	66,26	93,11	98,5	81,37	159,37	2	0,1	0,2	966
suicide	samobójstwo	11	13,3103448275862	25,3103448275862	29	29	3907	1789	N	11	50	1	7	1,54	1,12866184086307	50	1	9	6,76	2,66159381436256	50	1	9	2,98	2,55941638755752	50	1	9	4,52	2,6437450246009	50	1	9	5,12	2,81134726944	50	1	8	4,22	2,17865339424262	50	1	9	7,3	1,83225076262581	50	4	17	10,94	3,29755629990155	25	1	5	1,48	0,918331820930394	25	1	9	6,92	2,67581763205193	25	1	9	2,72	2,60640237364328	25	1	9	4,24	2,66583320308429	25	1	9	5,72	2,65392790658174	25	1	8	4,12	1,92180470738661	25	2	9	7,44	1,91659420152867	25	4	17	11,24	3,13953287395859	25	1	7	1,6	1,3228756555323	25	1	9	6,6	2,69258240356725	25	1	9	3,24	2,5377155080899	25	1	9	4,8	2,64575131106459	25	1	9	4,52	2,88848287745199	25	1	8	4,32	2,44472220644119	25	1	9	7,16	1,77200451466694	25	5	17	10,64	3,48664117262827	 	15,68	84,4	47,68	57,52	60,56	77	100,08	105,2	137,56	2	1	0,2	3277
death	śmierć	6	16,6785714285714	28,6296296296296	28	27	20524	22744	N	6	50	1	6	1,56	1,10951359079701	50	1	9	6,52	2,57333262838805	50	1	9	3,28	2,54782820681234	50	1	9	4,36	2,64775607730356	50	1	9	5,28	3,27039908942038	50	1	9	5,42	2,80007288534876	50	1	9	7	2,07019667802706	50	3	14	7,38	2,39804342014442	25	1	6	1,44	1,04403065089105	25	1	9	6,92	2,39652526240249	25	1	8	2,44	2,08326666559997	25	1	9	4,12	2,69752973415803	25	1	9	6,24	3,2310988842807	25	1	9	4,6	2,84312035153866	25	2	9	7,72	1,81475434517549	25	3	14	7,32	2,42761886080442	25	1	5	1,68	1,18039541397505	25	1	9	6,12	2,72824730061872	25	1	9	4,12	2,72824730061872	25	1	9	4,6	2,62995563967658	25	1	9	4,32	3,0784195079077	25	1	9	6,24	2,55408170059874	25	1	9	6,28	2,09204843793509	25	5	13	7,44	2,41660919471891	 	9,47	91,89	46,16	40,58	72,37	70,68	101,37	86,74	143,05	2	0,1	0,2	3763
pedophile	pedofil	7	0,678571428571428	7	28	28	117	7	N	7	50	1	8	1,6	1,4142135623731	50	1	9	6,84	2,35051014870893	50	1	9	3,62	2,69459019639919	50	1	9	5,26	2,43117507491706	50	1	8	4,12	2,52044699631325	50	1	8	3,2	2,02030508910442	50	1	9	6,06	2,23524641384619	50	4	18	11,86	3,17522295537282	25	1	8	1,68	1,70098010962308	25	2	9	7,2	1,91485421551268	25	1	9	4,08	3,01275068113289	25	1	9	5,48	2,50199920063936	25	1	8	4,96	2,4576411454889	25	1	7	2,32	1,70098010962308	25	2	9	6,56	2,29274217186902	25	4	16	12,08	2,9	25	1	6	1,52	1,0847426730182	25	1	9	6,48	2,70985854489369	25	1	9	3,16	2,30362033908947	25	1	9	5,04	2,38886304895586	25	1	8	3,28	2,33666428910958	25	1	8	4,08	1,95618676681616	25	1	9	5,56	2,10317220724631	25	4	18	11,64	3,47467024814346	 	7,61	84,17	37,44	37,67	54,56	79,22	91,78	75,11	133,78	1	0,1	0,2	2452
tumor	nowotwór	8	14,6071428571429	33,8214285714286	28	28	310	108	N	8	50	1	5	1,68	0,957036241396813	50	1	9	6,74	2,32826465989814	50	1	8	3,64	2,24753833591967	50	1	9	5,26	2,45622906596469	50	1	9	5,28	2,68054213219061	50	1	9	3,46	2,57309469832158	50	1	9	5,92	2,44815632420708	50	4	16	10,62	3,10949828619293	25	1	5	1,8	1,08012344973464	25	1	9	7,2	2,29128784747792	25	1	8	3	2,32737334062816	25	2	9	5,64	2,15793110795193	25	1	9	6,52	2,55147016443461	25	1	9	2,68	2,49532896962839	25	2	9	6,2	2,53311402559511	25	4	15	11,24	2,83254891102225	25	1	4	1,56	0,820568908339411	25	1	9	6,28	2,31876403859182	25	1	8	4,28	2,01080415091409	25	1	9	4,88	2,71293199325011	25	1	8	4,04	2,22635726393287	25	1	9	4,24	2,45424801789333	25	1	9	5,64	2,3783747952471	25	5	16	10	3,30403793359983	 	5,06	95,58	37,36	55,79	71,21	82,39	100,64	93,15	153,61	2	1	0,2	2103
death bed	łoże śmierci	12	10,75	26,0666666666667	28	30	10293	13363	N	12	50	1	6	1,68	0,998774759597059	50	1	9	5,26	2,84863017563723	50	1	8	3,02	1,87888373286711	50	1	9	5,06	2,35094423062526	50	1	9	4,18	2,79715599004651	50	1	9	5	2,63415555922654	49	1	9	5,91836734693877	2,24385025025696	50	4	17	11,32	3,48430885015455	25	1	4	1,76	0,830662386291807	25	1	9	5,44	2,59935889531759	25	1	5	2,52	1,38804418757713	25	1	9	5,8	2,34520787991171	25	1	9	4,76	3,05886689260364	25	1	9	4,6	2,64575131106459	25	1	9	6,04	2,65329983228432	25	4	16	10,96	3,37243729865113	25	1	6	1,6	1,15470053837925	25	1	9	5,08	3,12143129562919	25	1	8	3,52	2,18174242292714	25	1	9	4,32	2,1548395145192	25	1	8	3,6	2,43241991988774	25	1	9	5,4	2,61406452355969	24	2	9	5,79166666666667	1,76879144853366	25	6	17	11,68	3,62537354397217	 	14,32	71,82	40,86	35,91	47,14	42,27	86,14	76,77	89,41	1	0,1	0,2	1595
murderer	morderca	8	8,56666666666667	34,7307692307692	30	26	3030	1757	N	8	50	1	5	1,78	0,974993458900089	50	1	9	6,92	2,28428526757791	50	1	9	5,76	2,56793413355672	50	1	9	5,22	2,64413096714754	50	1	9	4,6	2,64960528442734	50	1	9	3,36	2,09722849182886	50	1	9	6,7	2,11167792844207	50	3	15	9,46	3,10503212379452	25	1	3	1,6	0,816496580927726	25	1	9	6,84	2,30362033908947	25	1	9	5,64	2,91376045686669	25	1	9	5,32	2,64133804475434	25	1	9	4,96	2,65329983228432	25	1	5	2,36	1,49666295470958	25	2	9	6,72	2,3895606290697	25	3	15	9,44	3,58329457343378	25	1	5	1,96	1,09848380355227	25	1	9	7	2,3094010767585	25	1	9	5,88	2,22336081942031	25	1	9	5,12	2,69752973415803	25	1	9	4,24	2,65015722804013	25	1	9	4,36	2,15793110795193	25	1	9	6,68	1,84210025061975	25	6	13	9,48	2,61597655443112	 	8,76	85,92	31,64	55,48	53,96	81,27	94,68	87,12	135,23	1	0,2	0,2	1793
