epoch,lr-SGD/pg1,lr-SGD/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.0025000000007499986,0.0025000000007499986,,49,,,,
0,,,,49,0.03125,4.596901893615723,,
,0.005051020408658167,0.005051020408658167,,99,,,,
0,,,,99,0.0078125,4.590230464935303,,
,0.007602040816566338,0.007602040816566338,,149,,,,
0,,,,149,0.0546875,4.510871887207031,,
,0.009948979591841852,0.009948979591841852,,199,,,,
0,,,,199,0.0234375,4.473056793212891,,
,0.009948979591841852,0.009948979591841852,,249,,,,
0,,,,249,0.0390625,4.441364765167236,,
,0.009948979591841852,0.009948979591841852,,299,,,,
0,,,,299,0.015625,4.40418815612793,,
,0.009948979591841852,0.009948979591841852,,349,,,,
0,,,,349,0.0234375,4.407040119171143,,
0,,,,390,,,0.07349999994039536,4.110259056091309
0,,,507.3471374511719,390,,,,
,0.009948979591841852,0.009948979591841852,,399,,,,
1,,,,399,0.078125,4.226035118103027,,
,0.009948979591841852,0.009948979591841852,,449,,,,
1,,,,449,0.0390625,4.290828227996826,,
,0.009948979591841852,0.009948979591841852,,499,,,,
1,,,,499,0.078125,3.967952251434326,,
,0.009948979591841852,0.009948979591841852,,549,,,,
1,,,,549,0.0703125,4.045855522155762,,
,0.009948979591841852,0.009948979591841852,,599,,,,
1,,,,599,0.09375,3.9651029109954834,,
,0.009948979591841852,0.009948979591841852,,649,,,,
1,,,,649,0.0703125,3.9653773307800293,,
,0.009948979591841852,0.009948979591841852,,699,,,,
1,,,,699,0.078125,3.9931640625,,
,0.009948979591841852,0.009948979591841852,,749,,,,
1,,,,749,0.0546875,4.059948921203613,,
1,,,,781,,,0.07930000126361847,3.973398447036743
1,,,505.497314453125,781,,,,
,0.009948979591841852,0.009948979591841852,,799,,,,
2,,,,799,0.09375,3.847269058227539,,
,0.009948979591841852,0.009948979591841852,,849,,,,
2,,,,849,0.109375,3.8588056564331055,,
,0.009948979591841852,0.009948979591841852,,899,,,,
2,,,,899,0.0625,3.9026739597320557,,
,0.009948979591841852,0.009948979591841852,,949,,,,
2,,,,949,0.125,3.7409229278564453,,
,0.009948979591841852,0.009948979591841852,,999,,,,
2,,,,999,0.0859375,3.922915458679199,,
,0.009948979591841852,0.009948979591841852,,1049,,,,
2,,,,1049,0.1171875,3.825807571411133,,
,0.009948979591841852,0.009948979591841852,,1099,,,,
2,,,,1099,0.1328125,3.8553519248962402,,
,0.009948979591841852,0.009948979591841852,,1149,,,,
2,,,,1149,0.09375,3.9775478839874268,,
2,,,,1172,,,0.09950000047683716,3.8942413330078125
2,,,475.9972839355469,1172,,,,
,0.009948979591841852,0.009948979591841852,,1199,,,,
3,,,,1199,0.171875,3.6461381912231445,,
,0.009948979591841852,0.009948979591841852,,1249,,,,
3,,,,1249,0.078125,3.8319478034973145,,
,0.009948979591841852,0.009948979591841852,,1299,,,,
3,,,,1299,0.0703125,3.799130439758301,,
,0.009948979591841852,0.009948979591841852,,1349,,,,
3,,,,1349,0.1015625,3.8625452518463135,,
,0.009948979591841852,0.009948979591841852,,1399,,,,
3,,,,1399,0.1328125,3.62534499168396,,
,0.009948979591841852,0.009948979591841852,,1449,,,,
3,,,,1449,0.140625,3.784916877746582,,
,0.009948979591841852,0.009948979591841852,,1499,,,,
3,,,,1499,0.21875,3.4116172790527344,,
,0.009948979591841852,0.009948979591841852,,1549,,,,
3,,,,1549,0.1328125,3.660432815551758,,
3,,,,1563,,,0.16169999539852142,3.404383659362793
3,,,478.0083312988281,1563,,,,
,0.009948979591841852,0.009948979591841852,,1599,,,,
4,,,,1599,0.1640625,3.7310404777526855,,
,0.009948979591841852,0.009948979591841852,,1649,,,,
4,,,,1649,0.1875,3.4013452529907227,,
,0.009948979591841852,0.009948979591841852,,1699,,,,
4,,,,1699,0.1796875,3.51251220703125,,
,0.009948979591841852,0.009948979591841852,,1749,,,,
4,,,,1749,0.1875,3.318753242492676,,
,0.009948979591841852,0.009948979591841852,,1799,,,,
4,,,,1799,0.15625,3.5194356441497803,,
,0.009948979591841852,0.009948979591841852,,1849,,,,
4,,,,1849,0.2109375,3.220445156097412,,
,0.009948979591841852,0.009948979591841852,,1899,,,,
4,,,,1899,0.2265625,3.2898616790771484,,
,0.009948979591841852,0.009948979591841852,,1949,,,,
4,,,,1949,0.2109375,3.3002679347991943,,
4,,,,1954,,,0.11420000344514847,3.8644213676452637
4,,,488.0586242675781,1954,,,,
,0.009948979591841852,0.009948979591841852,,1999,,,,
5,,,,1999,0.203125,3.422719717025757,,
,0.009948979591841852,0.009948979591841852,,2049,,,,
5,,,,2049,0.140625,3.4248156547546387,,
,0.009948979591841852,0.009948979591841852,,2099,,,,
5,,,,2099,0.1484375,3.4219398498535156,,
,0.009948979591841852,0.009948979591841852,,2149,,,,
5,,,,2149,0.1640625,3.4847373962402344,,
,0.009948979591841852,0.009948979591841852,,2199,,,,
5,,,,2199,0.1328125,3.5299010276794434,,
,0.009948979591841852,0.009948979591841852,,2249,,,,
5,,,,2249,0.1875,3.2296242713928223,,
,0.009948979591841852,0.009948979591841852,,2299,,,,
5,,,,2299,0.171875,3.3143510818481445,,
5,,,,2345,,,0.17560000717639923,3.4676809310913086
5,,,493.3890380859375,2345,,,,
,0.009948979591841852,0.009948979591841852,,2349,,,,
6,,,,2349,0.2421875,3.024372100830078,,
,0.009948979591841852,0.009948979591841852,,2399,,,,
6,,,,2399,0.28125,3.080380439758301,,
,0.009948979591841852,0.009948979591841852,,2449,,,,
6,,,,2449,0.1953125,3.2198169231414795,,
,0.009948979591841852,0.009948979591841852,,2499,,,,
6,,,,2499,0.265625,3.2039263248443604,,
,0.009948979591841852,0.009948979591841852,,2549,,,,
6,,,,2549,0.2109375,3.209040641784668,,
,0.009948979591841852,0.009948979591841852,,2599,,,,
6,,,,2599,0.171875,3.2402162551879883,,
,0.009948979591841852,0.009948979591841852,,2649,,,,
6,,,,2649,0.2265625,3.2883682250976562,,
,0.009948979591841852,0.009948979591841852,,2699,,,,
6,,,,2699,0.2421875,2.8445215225219727,,
6,,,,2736,,,0.1940000057220459,3.5938661098480225
6,,,513.7561645507812,2736,,,,
,0.009948979591841852,0.009948979591841852,,2749,,,,
7,,,,2749,0.25,3.2099859714508057,,
,0.009948979591841852,0.009948979591841852,,2799,,,,
7,,,,2799,0.21875,3.2878308296203613,,
,0.009948979591841852,0.009948979591841852,,2849,,,,
7,,,,2849,0.203125,3.1725175380706787,,
,0.009948979591841852,0.009948979591841852,,2899,,,,
7,,,,2899,0.1640625,3.3429007530212402,,
,0.009948979591841852,0.009948979591841852,,2949,,,,
7,,,,2949,0.203125,3.394622802734375,,
,0.009948979591841852,0.009948979591841852,,2999,,,,
7,,,,2999,0.1796875,3.265345811843872,,
,0.009948979591841852,0.009948979591841852,,3049,,,,
7,,,,3049,0.203125,3.0103049278259277,,
,0.009948979591841852,0.009948979591841852,,3099,,,,
7,,,,3099,0.265625,2.7800302505493164,,
7,,,,3127,,,0.24289999902248383,3.041229486465454
7,,,519.2691040039062,3127,,,,
,0.009948979591841852,0.009948979591841852,,3149,,,,
8,,,,3149,0.2578125,3.210350275039673,,
,0.009948979591841852,0.009948979591841852,,3199,,,,
8,,,,3199,0.1953125,3.2886886596679688,,
,0.009948979591841852,0.009948979591841852,,3249,,,,
8,,,,3249,0.3359375,2.8245556354522705,,
,0.009948979591841852,0.009948979591841852,,3299,,,,
8,,,,3299,0.234375,3.1106832027435303,,
,0.009948979591841852,0.009948979591841852,,3349,,,,
8,,,,3349,0.28125,2.8829355239868164,,
,0.009948979591841852,0.009948979591841852,,3399,,,,
8,,,,3399,0.234375,2.971982002258301,,
,0.009948979591841852,0.009948979591841852,,3449,,,,
8,,,,3449,0.2734375,2.9945406913757324,,
,0.009948979591841852,0.009948979591841852,,3499,,,,
8,,,,3499,0.2265625,3.1318085193634033,,
8,,,,3518,,,0.25600001215934753,2.9227840900421143
8,,,484.5318908691406,3518,,,,
,0.009948979591841852,0.009948979591841852,,3549,,,,
9,,,,3549,0.2578125,3.02518367767334,,
,0.009948979591841852,0.009948979591841852,,3599,,,,
9,,,,3599,0.203125,3.1432385444641113,,
,0.009948979591841852,0.009948979591841852,,3649,,,,
9,,,,3649,0.2890625,3.217815637588501,,
,0.009948979591841852,0.009948979591841852,,3699,,,,
9,,,,3699,0.2109375,3.108165740966797,,
,0.009948979591841852,0.009948979591841852,,3749,,,,
9,,,,3749,0.3046875,2.8082211017608643,,
,0.009948979591841852,0.009948979591841852,,3799,,,,
9,,,,3799,0.234375,3.1090245246887207,,
,0.009948979591841852,0.009948979591841852,,3849,,,,
9,,,,3849,0.1875,3.0438432693481445,,
,0.009948979591841852,0.009948979591841852,,3899,,,,
9,,,,3899,0.328125,2.702394723892212,,
9,,,,3909,,,0.2434999942779541,3.035827159881592
9,,,543.5413818359375,3909,,,,
,0.009948979591841852,0.009948979591841852,,3949,,,,
10,,,,3949,0.3359375,2.921807289123535,,
,0.009948979591841852,0.009948979591841852,,3999,,,,
10,,,,3999,0.21875,3.022387742996216,,
,0.009948979591841852,0.009948979591841852,,4049,,,,
10,,,,4049,0.28125,3.000478506088257,,
,0.009948979591841852,0.009948979591841852,,4099,,,,
10,,,,4099,0.2578125,2.9356870651245117,,
,0.009948979591841852,0.009948979591841852,,4149,,,,
10,,,,4149,0.3046875,2.988659381866455,,
,0.009948979591841852,0.009948979591841852,,4199,,,,
10,,,,4199,0.234375,3.187422275543213,,
,0.009948979591841852,0.009948979591841852,,4249,,,,
10,,,,4249,0.2890625,2.901033401489258,,
,0.009948979591841852,0.009948979591841852,,4299,,,,
10,,,,4299,0.296875,2.9316205978393555,,
