epoch,lr-AdamW/pg1,lr-AdamW/pg2,mean_optimizer_step_time_ms,step,train_acc,train_loss,val_acc,val_loss
,0.009696969697000003,0.009696969697000003,,49,,,,
0,,,,49,0.8203125,-0.7942527532577515,,
,0.009696969697000003,0.009696969697000003,,99,,,,
0,,,,99,0.84375,-0.8305854797363281,,
0,,,,107,,,0.8583999872207642,-0.8460286855697632
0,,,15.651249885559082,107,,,,
,0.009696969697000003,0.009696969697000003,,149,,,,
1,,,,149,0.87109375,-0.8665626645088196,,
,0.009696969697000003,0.009696969697000003,,199,,,,
1,,,,199,0.880859375,-0.8683430552482605,,
1,,,,215,,,0.9222000241279602,-0.8994573354721069
1,,,8.717509269714355,215,,,,
,0.009696969697000003,0.009696969697000003,,249,,,,
2,,,,249,0.94140625,-0.9334268569946289,,
,0.009696969697000003,0.009696969697000003,,299,,,,
2,,,,299,0.947265625,-0.9375367164611816,,
2,,,,323,,,0.9491999745368958,-0.9383305907249451
2,,,10.917546272277832,323,,,,
,0.009696969697000003,0.009696969697000003,,349,,,,
3,,,,349,0.94921875,-0.9415301084518433,,
,0.009696969697000003,0.009696969697000003,,399,,,,
3,,,,399,0.974609375,-0.9652725458145142,,
3,,,,431,,,0.9544000029563904,-0.9457013607025146
3,,,7.6669721603393555,431,,,,
,0.009696969697000003,0.009696969697000003,,449,,,,
4,,,,449,0.966796875,-0.9484772682189941,,
,0.009696969697000003,0.009696969697000003,,499,,,,
4,,,,499,0.962890625,-0.9552494287490845,,
4,,,,539,,,0.9592000246047974,-0.9507362246513367
4,,,8.833916664123535,539,,,,
,0.009696969697000003,0.009696969697000003,,549,,,,
5,,,,549,0.96875,-0.9643842577934265,,
,0.009696969697000003,0.009696969697000003,,599,,,,
5,,,,599,0.974609375,-0.9619468450546265,,
5,,,,647,,,0.9588000178337097,-0.9503818154335022
5,,,8.170722007751465,647,,,,
,0.009696969697000003,0.009696969697000003,,649,,,,
6,,,,649,0.982421875,-0.971595048904419,,
,0.009696969697000003,0.009696969697000003,,699,,,,
6,,,,699,0.974609375,-0.9647930860519409,,
,0.009696969697000003,0.009696969697000003,,749,,,,
6,,,,749,0.984375,-0.9765529036521912,,
6,,,,755,,,0.9670000076293945,-0.9577197432518005
6,,,8.103917121887207,755,,,,
,0.009696969697000003,0.009696969697000003,,799,,,,
7,,,,799,0.9765625,-0.9715596437454224,,
,0.009696969697000003,0.009696969697000003,,849,,,,
7,,,,849,0.96875,-0.9613193273544312,,
7,,,,863,,,0.9613999724388123,-0.9548694491386414
7,,,8.205157279968262,863,,,,
,0.009696969697000003,0.009696969697000003,,899,,,,
8,,,,899,0.970703125,-0.9674232006072998,,
,0.009696969697000003,0.009696969697000003,,949,,,,
8,,,,949,0.96875,-0.9637312889099121,,
8,,,,971,,,0.9660000205039978,-0.958424985408783
8,,,7.003824234008789,971,,,,
,0.009696969697000003,0.009696969697000003,,999,,,,
9,,,,999,0.97265625,-0.9680339097976685,,
,0.009696969697000003,0.009696969697000003,,1049,,,,
9,,,,1049,0.97265625,-0.9711280465126038,,
9,,,,1079,,,0.9664000272750854,-0.9580800533294678
9,,,7.663824081420898,1079,,,,
,0.009696969697000003,0.009696969697000003,,1099,,,,
10,,,,1099,0.9921875,-0.9816789627075195,,
,0.009696969697000003,0.009696969697000003,,1149,,,,
10,,,,1149,0.974609375,-0.9650495052337646,,
10,,,,1187,,,0.9682000279426575,-0.9605122804641724
10,,,8.286916732788086,1187,,,,
,0.009696969697000003,0.009696969697000003,,1199,,,,
11,,,,1199,0.986328125,-0.9799637794494629,,
,0.009696969697000003,0.009696969697000003,,1249,,,,
11,,,,1249,0.984375,-0.9770742058753967,,
11,,,,1295,,,0.9648000001907349,-0.9569041728973389
11,,,9.406879425048828,1295,,,,
,0.009696969697000003,0.009696969697000003,,1299,,,,
12,,,,1299,0.984375,-0.9772109985351562,,
,0.009696969697000003,0.009696969697000003,,1349,,,,
12,,,,1349,0.97265625,-0.9683500528335571,,
,0.009696969697000003,0.009696969697000003,,1399,,,,
12,,,,1399,0.982421875,-0.9764028191566467,,
12,,,,1403,,,0.9678000211715698,-0.9609876871109009
12,,,6.831110954284668,1403,,,,
,0.009696969697000003,0.009696969697000003,,1449,,,,
13,,,,1449,0.984375,-0.9775491952896118,,
,0.009696969697000003,0.009696969697000003,,1499,,,,
13,,,,1499,0.97265625,-0.963263988494873,,
13,,,,1511,,,0.9685999751091003,-0.9620906114578247
13,,,6.955249786376953,1511,,,,
,0.009696969697000003,0.009696969697000003,,1549,,,,
14,,,,1549,0.986328125,-0.9774935245513916,,
,0.009696969697000003,0.009696969697000003,,1599,,,,
14,,,,1599,0.98828125,-0.9776651859283447,,
14,,,,1619,,,0.9688000082969666,-0.961655855178833
14,,,5.872731685638428,1619,,,,
,0.009696969697000003,0.009696969697000003,,1649,,,,
15,,,,1649,0.9921875,-0.9850077629089355,,
,0.009696969697000003,0.009696969697000003,,1699,,,,
15,,,,1699,0.9765625,-0.9660215377807617,,
15,,,,1727,,,0.97079998254776,-0.9632943272590637
15,,,6.207759380340576,1727,,,,
,0.009696969697000003,0.009696969697000003,,1749,,,,
16,,,,1749,0.986328125,-0.9778859615325928,,
,0.009696969697000003,0.009696969697000003,,1799,,,,
16,,,,1799,0.986328125,-0.9762682914733887,,
16,,,,1835,,,0.9679999947547913,-0.9614256024360657
16,,,5.587657451629639,1835,,,,
,0.009696969697000003,0.009696969697000003,,1849,,,,
17,,,,1849,0.98828125,-0.9836167097091675,,
,0.009696969697000003,0.009696969697000003,,1899,,,,
17,,,,1899,0.978515625,-0.974062442779541,,
17,,,,1943,,,0.9697999954223633,-0.964413583278656
17,,,6.593435287475586,1943,,,,
,0.009696969697000003,0.009696969697000003,,1949,,,,
18,,,,1949,0.9921875,-0.9845057725906372,,
,0.009696969697000003,0.009696969697000003,,1999,,,,
18,,,,1999,0.9765625,-0.9740873575210571,,
,0.009696969697000003,0.009696969697000003,,2049,,,,
18,,,,2049,0.9921875,-0.981050431728363,,
18,,,,2051,,,0.9711999893188477,-0.9647931456565857
18,,,5.753759384155273,2051,,,,
,0.009696969697000003,0.009696969697000003,,2099,,,,
19,,,,2099,0.970703125,-0.9655849933624268,,
,0.009696969697000003,0.009696969697000003,,2149,,,,
19,,,,2149,0.986328125,-0.9800387024879456,,
19,,,,2159,,,0.972000002861023,-0.9648998975753784
19,,,5.8725738525390625,2159,,,,
,0.009696969697000003,0.009696969697000003,,2199,,,,
20,,,,2199,0.986328125,-0.9791485071182251,,
,0.009696969697000003,0.009696969697000003,,2249,,,,
20,,,,2249,0.982421875,-0.9766817688941956,,
20,,,,2267,,,0.9710000157356262,-0.9654892683029175
20,,,4.641435146331787,2267,,,,
,0.009696969697000003,0.009696969697000003,,2299,,,,
21,,,,2299,0.982421875,-0.9721997976303101,,
,0.009696969697000003,0.009696969697000003,,2349,,,,
21,,,,2349,0.970703125,-0.970341682434082,,
21,,,,2375,,,0.97079998254776,-0.9652963876724243
21,,,5.082231521606445,2375,,,,
,0.009696969697000003,0.009696969697000003,,2399,,,,
22,,,,2399,0.986328125,-0.9798269867897034,,
,0.009696969697000003,0.009696969697000003,,2449,,,,
22,,,,2449,0.990234375,-0.9848382472991943,,
22,,,,2483,,,0.9706000089645386,-0.9627252817153931
22,,,8.561074256896973,2483,,,,
,0.009696969697000003,0.009696969697000003,,2499,,,,
23,,,,2499,0.97265625,-0.9681198596954346,,
,0.009696969697000003,0.009696969697000003,,2549,,,,
23,,,,2549,0.98828125,-0.9813237190246582,,
23,,,,2591,,,0.9715999960899353,-0.965624213218689
23,,,5.704009056091309,2591,,,,
,0.009696969697000003,0.009696969697000003,,2599,,,,
24,,,,2599,0.982421875,-0.9742834568023682,,
,0.009696969697000003,0.009696969697000003,,2649,,,,
24,,,,2649,0.97265625,-0.9721978902816772,,
