dimension,image,elo,comparisons,url
atrakcyjna,1232.jpg,1861.9154206761248,50,https://langtorch.org/static/gandalf/1232.jpg
atrakcyjna,1355.jpg,1841.6346197184478,40,https://langtorch.org/static/gandalf/1355.jpg
atrakcyjna,1422.jpg,1826.9817477488682,50,https://langtorch.org/static/gandalf/1422.jpg
atrakcyjna,2737.jpg,1820.9980996530267,40,https://langtorch.org/static/gandalf/2737.jpg
atrakcyjna,805.jpg,1819.0449232726078,40,https://langtorch.org/static/gandalf/805.jpg
atrakcyjna,2636.jpg,1813.566681562048,50,https://langtorch.org/static/gandalf/2636.jpg
atrakcyjna,2242.jpg,1809.7764320455876,30,https://langtorch.org/static/gandalf/2242.jpg
atrakcyjna,649.jpg,1808.2310870779634,40,https://langtorch.org/static/gandalf/649.jpg
atrakcyjna,2264.jpg,1807.586194065668,40,https://langtorch.org/static/gandalf/2264.jpg
atrakcyjna,2842.jpg,1804.1498051311917,40,https://langtorch.org/static/gandalf/2842.jpg
atrakcyjna,2974.jpg,1795.6503896501652,40,https://langtorch.org/static/gandalf/2974.jpg
atrakcyjna,2296.jpg,1792.5660625326905,30,https://langtorch.org/static/gandalf/2296.jpg
atrakcyjna,2132.jpg,1791.5509159156761,30,https://langtorch.org/static/gandalf/2132.jpg
atrakcyjna,768.jpg,1791.1724994908839,30,https://langtorch.org/static/gandalf/768.jpg
atrakcyjna,475.jpg,1789.3602009302886,40,https://langtorch.org/static/gandalf/475.jpg
atrakcyjna,185.jpg,1788.5759179817276,40,https://langtorch.org/static/gandalf/185.jpg
atrakcyjna,1279.jpg,1785.6028774416336,30,https://langtorch.org/static/gandalf/1279.jpg
atrakcyjna,1162.jpg,1785.3132806328797,40,https://langtorch.org/static/gandalf/1162.jpg
atrakcyjna,2184.jpg,1784.871715021852,30,https://langtorch.org/static/gandalf/2184.jpg
atrakcyjna,2517.jpg,1784.591184421123,40,https://langtorch.org/static/gandalf/2517.jpg
atrakcyjna,2369.jpg,1784.432420229856,30,https://langtorch.org/static/gandalf/2369.jpg
atrakcyjna,1205.jpg,1784.0740973822105,40,https://langtorch.org/static/gandalf/1205.jpg
atrakcyjna,1622.jpg,1783.918209969721,30,https://langtorch.org/static/gandalf/1622.jpg
atrakcyjna,1738.jpg,1783.4197222647977,30,https://langtorch.org/static/gandalf/1738.jpg
atrakcyjna,1852.jpg,1782.8071749953313,40,https://langtorch.org/static/gandalf/1852.jpg
atrakcyjna,1383.jpg,1781.5295608207991,40,https://langtorch.org/static/gandalf/1383.jpg
atrakcyjna,821.jpg,1776.692614182892,40,https://langtorch.org/static/gandalf/821.jpg
atrakcyjna,389.jpg,1775.9780922725013,30,https://langtorch.org/static/gandalf/389.jpg
atrakcyjna,637.jpg,1774.891352914461,40,https://langtorch.org/static/gandalf/637.jpg
atrakcyjna,737.jpg,1772.2483038620892,30,https://langtorch.org/static/gandalf/737.jpg
atrakcyjna,2644.jpg,1770.1155437426862,30,https://langtorch.org/static/gandalf/2644.jpg
atrakcyjna,2607.jpg,1769.9101409449684,40,https://langtorch.org/static/gandalf/2607.jpg
atrakcyjna,2497.jpg,1768.9997727904097,30,https://langtorch.org/static/gandalf/2497.jpg
atrakcyjna,2663.jpg,1766.5934929838672,30,https://langtorch.org/static/gandalf/2663.jpg
atrakcyjna,2910.jpg,1766.511477522699,60,https://langtorch.org/static/gandalf/2910.jpg
atrakcyjna,1337.jpg,1765.8536901208004,30,https://langtorch.org/static/gandalf/1337.jpg
atrakcyjna,1806.jpg,1762.5797105864242,30,https://langtorch.org/static/gandalf/1806.jpg
atrakcyjna,1577.jpg,1762.1861516921097,30,https://langtorch.org/static/gandalf/1577.jpg
atrakcyjna,729.jpg,1762.1559354475469,30,https://langtorch.org/static/gandalf/729.jpg
atrakcyjna,946.jpg,1761.7621075054278,40,https://langtorch.org/static/gandalf/946.jpg
atrakcyjna,1440.jpg,1759.748596199413,30,https://langtorch.org/static/gandalf/1440.jpg
atrakcyjna,202.jpg,1757.697452457846,20,https://langtorch.org/static/gandalf/202.jpg
atrakcyjna,682.jpg,1756.5547722570664,40,https://langtorch.org/static/gandalf/682.jpg
atrakcyjna,448.jpg,1756.2370454621694,20,https://langtorch.org/static/gandalf/448.jpg
atrakcyjna,2006.jpg,1754.5155641309157,30,https://langtorch.org/static/gandalf/2006.jpg
atrakcyjna,961.jpg,1754.4157378884022,30,https://langtorch.org/static/gandalf/961.jpg
atrakcyjna,2366.jpg,1754.3594761125146,30,https://langtorch.org/static/gandalf/2366.jpg
atrakcyjna,1828.jpg,1754.1790681275154,40,https://langtorch.org/static/gandalf/1828.jpg
atrakcyjna,925.jpg,1754.0311650121066,60,https://langtorch.org/static/gandalf/925.jpg
atrakcyjna,1458.jpg,1753.4893980643762,30,https://langtorch.org/static/gandalf/1458.jpg
atrakcyjna,524.jpg,1752.4411430391658,30,https://langtorch.org/static/gandalf/524.jpg
atrakcyjna,2815.jpg,1752.2574770513527,30,https://langtorch.org/static/gandalf/2815.jpg
atrakcyjna,2370.jpg,1751.4378603245787,30,https://langtorch.org/static/gandalf/2370.jpg
atrakcyjna,1147.jpg,1750.6651468329492,30,https://langtorch.org/static/gandalf/1147.jpg
atrakcyjna,1463.jpg,1749.9620266325505,30,https://langtorch.org/static/gandalf/1463.jpg
atrakcyjna,1895.jpg,1748.4217832644547,20,https://langtorch.org/static/gandalf/1895.jpg
atrakcyjna,543.jpg,1747.9713331212574,30,https://langtorch.org/static/gandalf/543.jpg
atrakcyjna,799.jpg,1744.345493817623,30,https://langtorch.org/static/gandalf/799.jpg
atrakcyjna,285.jpg,1743.61649860376,20,https://langtorch.org/static/gandalf/285.jpg
atrakcyjna,1718.jpg,1743.411027126075,30,https://langtorch.org/static/gandalf/1718.jpg
atrakcyjna,188.jpg,1743.1862368479065,30,https://langtorch.org/static/gandalf/188.jpg
atrakcyjna,2924.jpg,1743.1538568807532,30,https://langtorch.org/static/gandalf/2924.jpg
atrakcyjna,2204.jpg,1742.928563944205,20,https://langtorch.org/static/gandalf/2204.jpg
atrakcyjna,2450.jpg,1741.6767353701505,60,https://langtorch.org/static/gandalf/2450.jpg
atrakcyjna,2544.jpg,1741.2124494654481,30,https://langtorch.org/static/gandalf/2544.jpg
atrakcyjna,943.jpg,1740.5715357537947,30,https://langtorch.org/static/gandalf/943.jpg
atrakcyjna,1801.jpg,1740.117730332264,30,https://langtorch.org/static/gandalf/1801.jpg
atrakcyjna,1391.jpg,1740.0567186813255,30,https://langtorch.org/static/gandalf/1391.jpg
atrakcyjna,2368.jpg,1739.7068618796877,30,https://langtorch.org/static/gandalf/2368.jpg
atrakcyjna,1438.jpg,1739.6298794483787,20,https://langtorch.org/static/gandalf/1438.jpg
atrakcyjna,2448.jpg,1738.832659813275,40,https://langtorch.org/static/gandalf/2448.jpg
atrakcyjna,1911.jpg,1738.82362097786,20,https://langtorch.org/static/gandalf/1911.jpg
atrakcyjna,2178.jpg,1737.8917096366365,30,https://langtorch.org/static/gandalf/2178.jpg
atrakcyjna,2724.jpg,1737.1594246243906,30,https://langtorch.org/static/gandalf/2724.jpg
atrakcyjna,1365.jpg,1736.9660703905276,20,https://langtorch.org/static/gandalf/1365.jpg
atrakcyjna,1394.jpg,1735.7948755757782,20,https://langtorch.org/static/gandalf/1394.jpg
atrakcyjna,2361.jpg,1733.9585690204017,30,https://langtorch.org/static/gandalf/2361.jpg
atrakcyjna,866.jpg,1733.671986882929,20,https://langtorch.org/static/gandalf/866.jpg
atrakcyjna,2955.jpg,1732.8531668722376,20,https://langtorch.org/static/gandalf/2955.jpg
atrakcyjna,1573.jpg,1731.3959404121129,60,https://langtorch.org/static/gandalf/1573.jpg
atrakcyjna,2597.jpg,1731.3471754993525,40,https://langtorch.org/static/gandalf/2597.jpg
atrakcyjna,2018.jpg,1731.0763865223223,20,https://langtorch.org/static/gandalf/2018.jpg
atrakcyjna,2462.jpg,1730.2115069286035,50,https://langtorch.org/static/gandalf/2462.jpg
atrakcyjna,1952.jpg,1729.8387304589194,20,https://langtorch.org/static/gandalf/1952.jpg
atrakcyjna,1771.jpg,1729.1671367835133,20,https://langtorch.org/static/gandalf/1771.jpg
atrakcyjna,2719.jpg,1728.941726254646,20,https://langtorch.org/static/gandalf/2719.jpg
atrakcyjna,2012.jpg,1728.7904695232003,40,https://langtorch.org/static/gandalf/2012.jpg
atrakcyjna,1890.jpg,1728.4891420394154,20,https://langtorch.org/static/gandalf/1890.jpg
atrakcyjna,128.jpg,1728.2028384963269,20,https://langtorch.org/static/gandalf/128.jpg
atrakcyjna,2495.jpg,1728.002298784714,30,https://langtorch.org/static/gandalf/2495.jpg
atrakcyjna,2313.jpg,1727.8934628889842,20,https://langtorch.org/static/gandalf/2313.jpg
atrakcyjna,697.jpg,1727.819196339315,30,https://langtorch.org/static/gandalf/697.jpg
atrakcyjna,2541.jpg,1727.386925671386,60,https://langtorch.org/static/gandalf/2541.jpg
atrakcyjna,404.jpg,1726.0743320707668,20,https://langtorch.org/static/gandalf/404.jpg
atrakcyjna,367.jpg,1725.7486026214108,20,https://langtorch.org/static/gandalf/367.jpg
atrakcyjna,1402.jpg,1725.590090939191,30,https://langtorch.org/static/gandalf/1402.jpg
atrakcyjna,2454.jpg,1723.9092459848005,20,https://langtorch.org/static/gandalf/2454.jpg
atrakcyjna,1364.jpg,1723.814388724223,20,https://langtorch.org/static/gandalf/1364.jpg
atrakcyjna,657.jpg,1723.5787493776752,20,https://langtorch.org/static/gandalf/657.jpg
atrakcyjna,2159.jpg,1723.3731091695106,30,https://langtorch.org/static/gandalf/2159.jpg
atrakcyjna,861.jpg,1723.1472178465856,20,https://langtorch.org/static/gandalf/861.jpg
atrakcyjna,898.jpg,1722.6742789278856,20,https://langtorch.org/static/gandalf/898.jpg
atrakcyjna,2243.jpg,1722.241753940845,20,https://langtorch.org/static/gandalf/2243.jpg
atrakcyjna,2971.jpg,1721.6829651344433,30,https://langtorch.org/static/gandalf/2971.jpg
atrakcyjna,2850.jpg,1721.0787658200898,20,https://langtorch.org/static/gandalf/2850.jpg
