dataset_id,respondent_id,dimension,image_A,image_B,winner,raw_label,raw_col
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,925.jpg,1950.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,668.jpg,268.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,532.jpg,1285.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1550.jpg,2110.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1826.jpg,548.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,2641.jpg,396.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,2388.jpg,2967.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,735.jpg,2686.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,2152.jpg,2798.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1856.jpg,51.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1689.jpg,500.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,575.jpg,1099.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,2256.jpg,105.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,320.jpg,494.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1075.jpg,1500.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,2066.jpg,1058.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,318.jpg,2401.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,2360.jpg,2004.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,453.jpg,252.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1227.jpg,1734.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1429.jpg,732.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1132.jpg,1972.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1945.jpg,2523.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1409.jpg,678.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,325.jpg,361.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1239.jpg,1998.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1090.jpg,742.jpg,A,zagłosował(a)bym na nią/niego w wyborach,ratings_list
sona,R_8epWxH3BeTmeJjP,zagłosował(a)bym na nią/niego w wyborach,1460.jpg,1044.jpg,B,zagłosował(a)bym na nią/niego w wyborach,ratings_list
